seed,dimension,epsilon,direct,balanced,coverage,error
110,5,0.413,0.0987899898694,0.0987899898694,0.142451369016,1.38777878078e-17
111,6,0.071,0.0386546558324,0.0386546558324,0.0386546558324,5.55111512313e-17
112,3,0.217,0.0206112061215,0.0206112061215,0.0206112061215,1.73472347598e-17
113,4,0.413,0.073943810295,0.073943810295,0.137883104867,2.77555756156e-17
114,5,0.071,0.0308559095203,0.0308559095203,0.0308559095203,2.42861286637e-17
115,6,0.217,0.0270210161519,0.0270210161519,0.0270210161519,7.2858385991e-17
116,3,0.413,0.0780728263389,0.0780728263389,0.0780728263389,4.16333634234e-17
117,4,0.071,0.0580988355118,0.0580988355118,0.0580988355118,4.16333634234e-17
118,5,0.217,0.042227160138,0.042227160138,0.042227160138,4.16333634234e-17
119,6,0.413,0.0739444636256,0.0739444636256,0.0841502988881,4.16333634234e-17
120,3,0.071,0.0861944116008,0.0861944116008,0.0861944116008,0
121,4,0.217,0.0732269270472,0.0732269270472,0.0732269270472,1.38777878078e-17
122,5,0.413,0.0672689521349,0.0672689521349,0.112769650365,4.16333634234e-17
123,6,0.071,0.0413522706252,0.0413522706252,0.0413522706252,4.85722573274e-17
124,3,0.217,0.0716909117436,0.0716909117436,0.0716909117436,4.16333634234e-17
125,4,0.413,0.0427312584397,0.0427312584397,0.0643702417296,6.93889390391e-18
126,5,0.071,0.0355638806835,0.0355638806835,0.0355638806835,1.38777878078e-17
127,6,0.217,0.0112884169693,0.0112884169693,0.0215768378137,8.32667268469e-17
128,3,0.413,0.0794115432355,0.0794115432355,0.0794115432355,1.38777878078e-17
129,4,0.071,0.0288786954041,0.0288786954041,0.0288786954041,7.6327832943e-17
130,5,0.217,0.0377845758434,0.0377845758434,0.0377845758434,6.93889390391e-17
131,6,0.413,0.0177922840983,0.0177922840983,0.0306855553805,1.38777878078e-17
132,3,0.071,0.0977605293056,0.0977605293056,0.0977605293056,8.32667268469e-17
133,4,0.217,0.0454165918476,0.0454165918476,0.0454165918476,4.16333634234e-17
134,5,0.413,0.0875779127088,0.0875779127088,0.0875779127088,1.38777878078e-17
135,6,0.071,0.0235400290733,0.0235400290733,0.0235400290733,3.12250225676e-17
136,3,0.217,0.0650925536821,0.0650925536821,0.0650925536821,5.55111512313e-17
137,4,0.413,0.0856682959102,0.0856682959102,0.160346961923,1.38777878078e-17
138,5,0.071,0.0310172355683,0.0310172355683,0.0310172355683,5.89805981832e-17
139,6,0.217,0.0192181579332,0.0192181579332,0.0316303874828,4.51028103754e-17
140,3,0.413,0.150681282685,0.150681282685,0.232542636595,2.77555756156e-17
141,4,0.071,0.0562145859778,0.0562145859778,0.0562145859778,4.16333634234e-17
142,5,0.217,0.0401538926539,0.0401538926539,0.0401538926539,5.55111512313e-17
143,6,0.413,0.0360568199154,0.0360568199154,0.0360568199154,6.93889390391e-17
144,3,0.071,0.0514894192752,0.0514894192752,0.0514894192752,3.46944695195e-17
145,4,0.217,0.0452554874134,0.0452554874134,0.0452554874134,9.71445146547e-17
146,5,0.413,0.0921974773946,0.0921974773946,0.0921974773946,2.77555756156e-17
147,6,0.071,0.0189891390752,0.0189891390752,0.0189891390752,1.31838984174e-16
148,3,0.217,0.0526481527981,0.0526481527981,0.0526481527981,4.85722573274e-17
149,4,0.413,0.0338271650368,0.0338271650368,0.0631432217239,1.38777878078e-17
150,5,0.071,0.0712166239903,0.0712166239903,0.0712166239903,1.66533453694e-16
151,6,0.217,0.0522825254151,0.0522825254151,0.0522825254151,1.11022302463e-16
152,3,0.413,0.149848763214,0.149848763214,0.149848763214,5.55111512313e-17
153,4,0.071,0.0334572208961,0.0334572208961,0.0334572208961,4.85722573274e-17
154,5,0.217,0.0493290339548,0.0493290339548,0.0493290339548,4.16333634234e-17
155,6,0.413,0.0492080132255,0.0492080132255,0.0827755419797,1.38777878078e-17
156,3,0.071,0.118066708279,0.118066708279,0.118066708279,2.77555756156e-17
157,4,0.217,0.0888232019947,0.0888232019947,0.0962006517194,2.77555756156e-17
158,5,0.413,0.104171010867,0.104171010867,0.144518728959,4.16333634234e-17
159,6,0.071,0.0460662937641,0.0460662937641,0.0460662937641,1.2490009027e-16
160,3,0.217,0.0618026633181,0.0618026633181,0.0618026633181,1.11022302463e-16
